Ticker,Nama,Type,Region,Sector Yahoo,Industry Yahoo,Sektor IHSG
AKSI.JK,Mineral Sumberdaya Mandiri Tbk,Stock,Indonesia,Industrials,Trucking,11. Transportation
ALII.JK,Ancara Logistics Indonesia Tbk,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
BBRM.JK,Pelayaran Nasional Bina Buana,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
BESS.JK,Batulicin Nusantara Maritim Tb,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
BIRD.JK,Blue Bird Tbk.,Stock,Indonesia,Industrials,Railroads,11. Transportation
BLTA.JK,Berlian Laju Tanker Tbk,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
BSML.JK,Bintang Samudera Mandiri Lines,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
BULL.JK,Buana Lintas Lautan Tbk.,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
CANI.JK,Capitol Nusantara Indonesia Tb,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
CBRE.JK,Cakra Buana Resources Energi T,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
CMPP.JK,AirAsia Indonesia Tbk.,Stock,Indonesia,Industrials,Airlines,11. Transportation
ELPI.JK,Pelayaran Nasional Ekalya Purn,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
GIAA.JK,Garuda Indonesia (Persero) Tbk,Stock,Indonesia,Industrials,Airlines,11. Transportation
GTRA.JK,Grahaprima Suksesmandiri Tbk.,Stock,Indonesia,Industrials,Integrated Freight & Logistics,11. Transportation
GTSI.JK,GTS Internasional Tbk.,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
HAIS.JK,Hasnur Internasional Shipping,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
HATM.JK,Habco Trans Maritima Tbk.,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
HITS.JK,Humpuss Intermoda Transportasi,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
HUMI.JK,Humpuss Maritim Internasional,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
INDX.JK,Tanah Laut Tbk,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
INPS.JK,Indah Prakasa Sentosa Tbk.,Stock,Indonesia,Industrials,Trucking,11. Transportation
IPCC.JK,Indonesia Kendaraan Terminal T,Stock,Indonesia,Industrials,Integrated Freight & Logistics,11. Transportation
IPCM.JK,Jasa Armada Indonesia Tbk.,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
PTIS.JK,Indo Straits Tbk.,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
JAYA.JK,Armada Berjaya Trans Tbk.,Stock,Indonesia,Industrials,Trucking,11. Transportation
KARW.JK,Meratus Jasa Prima Tbk.,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
KJEN.JK,Krida Jaringan Nusantara Tbk.,Stock,Indonesia,Industrials,Integrated Freight & Logistics,11. Transportation
KLAS.JK,Pelayaran Kurnia Lautan Semest,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
LAJU.JK,Jasa Berdikari Logistics Tbk.,Stock,Indonesia,Industrials,Integrated Freight & Logistics,11. Transportation
LEAD.JK,Logindo Samudramakmur Tbk.,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
LOPI.JK,Logisticsplus International Tb,Stock,Indonesia,Industrials,Integrated Freight & Logistics,11. Transportation
LRNA.JK,Eka Sari Lorena Transport Tbk.,Stock,Indonesia,Industrials,Railroads,11. Transportation
MAHA.JK,Mandiri Herindo Adiperkasa Tbk,Stock,Indonesia,Industrials,Trucking,11. Transportation
MBSS.JK,Mitrabahtera Segara Sejati Tbk,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
MITI.JK,Mitra Investindo Tbk.,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
MPXL.JK,MPX Logistics International Tb,Stock,Indonesia,Industrials,Trucking,11. Transportation
NELY.JK,Pelayaran Nelly Dwi Putri Tbk.,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
PORT.JK,Nusantara Pelabuhan Handal Tbk,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
PPGL.JK,Prima Globalindo Logistik Tbk.,Stock,Indonesia,Industrials,Integrated Freight & Logistics,11. Transportation
PSSI.JK,IMC Pelita Logistik Tbk.,Stock,Indonesia,Industrials,Marine Shipping,11. Transportation
PURA.JK,Putra Rajawali Kencana Tbk.,Stock,Indonesia,Industrials,Trucking,11. Transportation
