Ticker,Nama,Type,Region,Sector Yahoo,Industry Yahoo,Sektor IHSG
AALI.JK,Astra Agro Lestari Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
ADES.JK,Akasha Wira International Tbk.,Stock,Indonesia,Consumer Defensive,Beverages - Non-Alcoholic,4. Konsumen Primer
AGAR.JK,Asia Sejahtera Mina Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
AISA.JK,FKS Food Sejahtera Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
ALTO.JK,Tri Banyan Tirta Tbk.,Stock,Indonesia,Consumer Defensive,Beverages - Non-Alcoholic,4. Konsumen Primer
AMMS.JK,Agung Menjangan Mas Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
AMRT.JK,Sumber Alfaria Trijaya Tbk.,Stock,Indonesia,Consumer Defensive,Grocery Stores,4. Konsumen Primer
ANDI.JK,Andira Agro Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
ANJT.JK,Austindo Nusantara Jaya Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
ASHA.JK,Cilacap Samudera Fishing Indus,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
AYAM.JK,Janu Putra Sejahtera Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
AYLS.JK,Agro Yasa Lestari Tbk.,Stock,Indonesia,Consumer Defensive,Food Distribution,4. Konsumen Primer
BEEF.JK,Estika Tata Tiara Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
BEER.JK,Jobubu Jarum Minahasa Tbk.,Stock,Indonesia,Consumer Defensive,Beverages - Wineries & Distilleries,4. Konsumen Primer
BMBL.JK,Lavender Bina Cendikia Tbk.,Stock,Indonesia,Consumer Defensive,Education & Training Services,4. Konsumen Primer
BOBA.JK,Formosa Ingredient Factory Tbk,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
BTEK.JK,Bumi Teknokultura Unggul Tbk,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
BUAH.JK,Segar Kumala Indonesia Tbk.,Stock,Indonesia,Consumer Defensive,Food Distribution,4. Konsumen Primer
BUDI.JK,Budi Starch & Sweetener Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
BWPT.JK,Eagle High Plantations Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
CAMP.JK,Campina Ice Cream Industry Tbk,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
CBUT.JK,Citra Borneo Utama Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
CEKA.JK,Wilmar Cahaya Indonesia Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
CLEO.JK,Sariguna Primatirta Tbk.,Stock,Indonesia,Consumer Defensive,Beverages - Non-Alcoholic,4. Konsumen Primer
CMRY.JK,Cisarua Mountain Dairy Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
COCO.JK,Wahana Interfood Nusantara Tbk,Stock,Indonesia,Consumer Defensive,Confectioners,4. Konsumen Primer
CPIN.JK,Charoen Pokphand Indonesia Tbk,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
CPRO.JK,Central Proteina Prima Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
CRAB.JK,Toba Surimi Industries Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
CSRA.JK,Cisadane Sawit Raya Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
DEWI.JK,Dewi Shri Farmindo Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
DLTA.JK,Delta Djakarta Tbk.,Stock,Indonesia,Consumer Defensive,Beverages - Brewers,4. Konsumen Primer
DMND.JK,Diamond Food Indonesia Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
DPUM.JK,Dua Putra Utama Makmur Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
DSFI.JK,Dharma Samudera Fishing Indust,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
DSNG.JK,Dharma Satya Nusantara Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
ENZO.JK,Morenzo Abadi Perkasa Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
EURO.JK,Estee Gold Feet Tbk.,Stock,Indonesia,Consumer Defensive,Household & Personal Products,4. Konsumen Primer
FAPA.JK,FAP Agri Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
FISH.JK,FKS Multi Agro Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
FLMC.JK,Falmaco Nonwoven Industri Tbk.,Stock,Indonesia,Consumer Defensive,Household & Personal Products,4. Konsumen Primer
FOOD.JK,Sentra Food Indonesia Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
GGRM.JK,Gudang Garam Tbk.,Stock,Indonesia,Consumer Defensive,Tobacco,4. Konsumen Primer
GOOD.JK,Garudafood Putra Putri Jaya Tb,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
GRPM.JK,Graha Prima Mentari Tbk.,Stock,Indonesia,Consumer Defensive,Beverages - Non-Alcoholic,4. Konsumen Primer
GULA.JK,Aman Agrindo Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
GUNA.JK,Gunanusa Eramandiri Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
GZCO.JK,Gozco Plantations Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
HMSP.JK,H.M. Sampoerna Tbk.,Stock,Indonesia,Consumer Defensive,Tobacco,4. Konsumen Primer
HOKI.JK,Buyung Poetra Sembada Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
ICBP.JK,Indofood CBP Sukses Makmur Tbk,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
IDEA.JK,Idea Indonesia Akademi Tbk.,Stock,Indonesia,Consumer Defensive,Education & Training Services,4. Konsumen Primer
IKAN.JK,Era Mandiri Cemerlang Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
INDF.JK,Indofood Sukses Makmur Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
IPPE.JK,Indo Pureco Pratama Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
ISEA.JK,Indo American Seafoods Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
ITIC.JK,Indonesian Tobacco Tbk.,Stock,Indonesia,Consumer Defensive,Tobacco,4. Konsumen Primer
JARR.JK,Jhonlin Agro Raya Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
JAWA.JK,Jaya Agra Wattie Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
JPFA.JK,Japfa Comfeed Indonesia Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
KEJU.JK,Mulia Boga Raya Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
KINO.JK,Kino Indonesia Tbk.,Stock,Indonesia,Consumer Defensive,Beverages - Non-Alcoholic,4. Konsumen Primer
KMDS.JK,Kurniamitra Duta Sentosa Tbk.,Stock,Indonesia,Consumer Defensive,Food Distribution,4. Konsumen Primer
LSIP.JK,PP London Sumatra Indonesia Tb,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
