Ticker,Nama,Type,Region,Sector Yahoo,Industry Yahoo,Sektor IHSG
ACES.JK,Aspirasi Hidup Indonesia Tbk.,Stock,Indonesia,Consumer Cyclical,Specialty Retail,5. Non Primer
ACRO.JK,Samcro Hyosung Adilestari Tbk.,Stock,Indonesia,Consumer Cyclical,Apparel Manufacturing,5. Non Primer
AEGS.JK,Anugerah Spareparts Sejahtera,Stock,Indonesia,Consumer Cyclical,Auto Parts,5. Non Primer
AKKU.JK,Anugerah Kagum Karya Utama Tbk,Stock,Indonesia,Consumer Cyclical,Lodging,5. Non Primer
AKPI.JK,Argha Karya Prima Industry Tbk,Stock,Indonesia,Consumer Cyclical,Packaging & Containers,5. Non Primer
APLI.JK,Asiaplast Industries Tbk.,Stock,Indonesia,Consumer Cyclical,Packaging & Containers,5. Non Primer
ARGO.JK,Argo Pantes Tbk,Stock,Indonesia,Consumer Cyclical,Textile Manufacturing,5. Non Primer
ARTA.JK,Arthavest Tbk,Stock,Indonesia,Consumer Cyclical,Lodging,5. Non Primer
ASLC.JK,Autopedia Sukses Lestari Tbk.,Stock,Indonesia,Consumer Cyclical,Auto & Truck Dealerships,5. Non Primer
ASPI.JK,Andalan Sakti Primaindo Tbk.,Stock,Indonesia,Consumer Cyclical,Residential Construction,5. Non Primer
ATAP.JK,Trimitra Prawara Goldland Tbk.,Stock,Indonesia,Consumer Cyclical,Residential Construction,5. Non Primer
AUTO.JK,Astra Otoparts Tbk.,Stock,Indonesia,Consumer Cyclical,Auto Parts,5. Non Primer
BABY.JK,Multitrend Indo Tbk.,Stock,Indonesia,Consumer Cyclical,Apparel Retail,5. Non Primer
BAIK.JK,Bersama Mencapai Puncak Tbk.,Stock,Indonesia,Consumer Cyclical,Restaurants,5. Non Primer
BATA.JK,Sepatu Bata Tbk.,Stock,Indonesia,Consumer Cyclical,Footwear & Accessories,5. Non Primer
BAYU.JK,Bayu Buana Tbk,Stock,Indonesia,Consumer Cyclical,Travel Services,5. Non Primer
BELI.JK,Global Digital Niaga Tbk.,Stock,Indonesia,Consumer Cyclical,Internet Retail,5. Non Primer
BELL.JK,Trisula Textile Industries Tbk,Stock,Indonesia,Consumer Cyclical,Textile Manufacturing,5. Non Primer
BIKE.JK,Sepeda Bersama Indonesia Tbk.,Stock,Indonesia,Consumer Cyclical,Leisure,5. Non Primer
BIMA.JK,Primarindo Asia Infrastructure,Stock,Indonesia,Consumer Cyclical,Footwear & Accessories,5. Non Primer
BOGA.JK,Bintang Oto Global Tbk.,Stock,Indonesia,Consumer Cyclical,Auto & Truck Dealerships,5. Non Primer
BRAM.JK,Indo Kordsa Tbk.,Stock,Indonesia,Consumer Cyclical,Textile Manufacturing,5. Non Primer
BRNA.JK,Berlina Tbk.,Stock,Indonesia,Consumer Cyclical,Packaging & Containers,5. Non Primer
BUKA.JK,Bukalapak.com Tbk.,Stock,Indonesia,Consumer Cyclical,Internet Retail,5. Non Primer
BUVA.JK,Bukit Uluwatu Villa Tbk.,Stock,Indonesia,Consumer Cyclical,Lodging,5. Non Primer
CARS.JK,Industri dan Perdagangan Bintr,Stock,Indonesia,Consumer Cyclical,Auto & Truck Dealerships,5. Non Primer
CINT.JK,Chitose Internasional Tbk.,Stock,Indonesia,Consumer Cyclical,"Furnishings, Fixtures & Appliances",5. Non Primer
CLAY.JK,Citra Putra Realty Tbk.,Stock,Indonesia,Consumer Cyclical,Lodging,5. Non Primer
CNTX.JK,Century Textile Industry Tbk.,Stock,Indonesia,Consumer Cyclical,Textile Manufacturing,5. Non Primer
CSMI.JK,Cia Selera Murni Tbk.,Stock,Indonesia,Consumer Cyclical,Restaurants,5. Non Primer
DAYA.JK,Duta Intidaya Tbk.,Stock,Indonesia,Consumer Cyclical,Specialty Retail,5. Non Primer
DEPO.JK,Caturkarda Depo Bangunan Tbk.,Stock,Indonesia,Consumer Cyclical,Home Improvement Retail,5. Non Primer
DOSS.JK,Global Sukses Digital Tbk.,Stock,Indonesia,Consumer Cyclical,Specialty Retail,5. Non Primer
DRMA.JK,Dharma Polimetal Tbk.,Stock,Indonesia,Consumer Cyclical,Auto Parts,5. Non Primer
EAST.JK,Eastparc Hotel Tbk.,Stock,Indonesia,Consumer Cyclical,Lodging,5. Non Primer
ECII.JK,Electronic City Indonesia Tbk.,Stock,Indonesia,Consumer Cyclical,Specialty Retail,5. Non Primer
ENAK.JK,Champ Resto Indonesia Tbk.,Stock,Indonesia,Consumer Cyclical,Restaurants,5. Non Primer
EPAC.JK,Megalestari Epack Sentosaraya,Stock,Indonesia,Consumer Cyclical,Packaging & Containers,5. Non Primer
ERAA.JK,Erajaya Swasembada Tbk.,Stock,Indonesia,Consumer Cyclical,Specialty Retail,5. Non Primer
ERAL.JK,Sinar Eka Selaras Tbk.,Stock,Indonesia,Consumer Cyclical,Specialty Retail,5. Non Primer
ERTX.JK,Eratex Djaja Tbk.,Stock,Indonesia,Consumer Cyclical,Apparel Manufacturing,5. Non Primer
ESIP.JK,Sinergi Inti Plastindo Tbk.,Stock,Indonesia,Consumer Cyclical,Packaging & Containers,5. Non Primer
ESTA.JK,Esta Multi Usaha Tbk.,Stock,Indonesia,Consumer Cyclical,Lodging,5. Non Primer
ESTI.JK,Ever Shine Tex Tbk.,Stock,Indonesia,Consumer Cyclical,Textile Manufacturing,5. Non Primer
FAST.JK,Fast Food Indonesia Tbk.,Stock,Indonesia,Consumer Cyclical,Restaurants,5. Non Primer
FASW.JK,Fajar Surya Wisesa Tbk.,Stock,Indonesia,Consumer Cyclical,Packaging & Containers,5. Non Primer
FITT.JK,Hotel Fitra International Tbk.,Stock,Indonesia,Consumer Cyclical,Lodging,5. Non Primer
FOLK.JK,Multi Garam Utama Tbk.,Stock,Indonesia,Consumer Cyclical,Internet Retail,5. Non Primer
GDYR.JK,Goodyear Indonesia Tbk.,Stock,Indonesia,Consumer Cyclical,Auto Parts,5. Non Primer
GEMA.JK,Gema Grahasarana Tbk.,Stock,Indonesia,Consumer Cyclical,"Furnishings, Fixtures & Appliances",5. Non Primer
GJTL.JK,Gajah Tunggal Tbk.,Stock,Indonesia,Consumer Cyclical,Auto Parts,5. Non Primer
GLOB.JK,Globe Kita Terang Tbk.,Stock,Indonesia,Consumer Cyclical,Specialty Retail,5. Non Primer
GOLF.JK,Intra Golflink Resorts Tbk.,Stock,Indonesia,Consumer Cyclical,Leisure,5. Non Primer
GRPH.JK,Griha Putra Persada Tbk.,Stock,Indonesia,Consumer Cyclical,Lodging,5. Non Primer
HADE.JK,Himalaya Energi Perkasa Tbk.,Stock,Indonesia,Consumer Cyclical,Specialty Retail,5. Non Primer
HAJJ.JK,Arsy Buana Travelindo Tbk.,Stock,Indonesia,Consumer Cyclical,Travel Services,5. Non Primer
HERO.JK,Hero Supermarket Tbk.,Stock,Indonesia,Consumer Cyclical,Department Stores,5. Non Primer
HRME.JK,Menteng Heritage Realty Tbk.,Stock,Indonesia,Consumer Cyclical,Lodging,5. Non Primer
HRTA.JK,Hartadinata Abadi Tbk.,Stock,Indonesia,Consumer Cyclical,Luxury Goods,5. Non Primer
IBOS.JK,Indo Boga Sukses Tbk.,Stock,Indonesia,Consumer Cyclical,Restaurants,5. Non Primer
IGAR.JK,Champion Pacific Indonesia Tbk,Stock,Indonesia,Consumer Cyclical,Packaging & Containers,5. Non Primer
IMAS.JK,Indomobil Sukses Internasional,Stock,Indonesia,Consumer Cyclical,Auto & Truck Dealerships,5. Non Primer
INDO.JK,Royalindo Investa Wijaya Tbk.,Stock,Indonesia,Consumer Cyclical,Lodging,5. Non Primer
INDR.JK,Indo-Rama Synthetics Tbk.,Stock,Indonesia,Consumer Cyclical,Textile Manufacturing,5. Non Primer
INDS.JK,Indospring Tbk.,Stock,Indonesia,Consumer Cyclical,Auto Parts,5. Non Primer
IPOL.JK,Indopoly Swakarsa Industry Tbk,Stock,Indonesia,Consumer Cyclical,Packaging & Containers,5. Non Primer
