Ticker,Nama,Type,Region,Sector Yahoo,Industry Yahoo,Sektor IHSG
BMHS.JK,Bundamedik Tbk.,Stock,Indonesia,Healthcare,Medical Care Facilities,6. Healthcare
CARE.JK,Metro Healthcare Indonesia Tbk,Stock,Indonesia,Healthcare,Medical Care Facilities,6. Healthcare
DGNS.JK,Diagnos Laboratorium Utama Tbk,Stock,Indonesia,Healthcare,Diagnostics & Research,6. Healthcare
DVLA.JK,Darya-Varia Laboratoria Tbk.,Stock,Indonesia,Healthcare,Drug Manufacturers - Specialty & Generic,6. Healthcare
EPMT.JK,Enseval Putera Megatrading Tbk,Stock,Indonesia,Healthcare,Medical Distribution,6. Healthcare
HEAL.JK,Medikaloka Hermina Tbk.,Stock,Indonesia,Healthcare,Medical Care Facilities,6. Healthcare
IKPM.JK,Ikapharmindo Putramas Tbk.,Stock,Indonesia,Healthcare,Pharmaceutical Retailers,6. Healthcare
INAF.JK,Indofarma Tbk.,Stock,Indonesia,Healthcare,Drug Manufacturers - Specialty & Generic,6. Healthcare
IRRA.JK,Itama Ranoraya Tbk.,Stock,Indonesia,Healthcare,Medical Distribution,6. Healthcare
KAEF.JK,Kimia Farma Tbk.,Stock,Indonesia,Healthcare,Medical Distribution,6. Healthcare
KLBF.JK,Kalbe Farma Tbk.,Stock,Indonesia,Healthcare,Drug Manufacturers - General,6. Healthcare
LABS.JK,UBC Medical Indonesia Tbk.,Stock,Indonesia,Healthcare,Medical Devices,6. Healthcare
LPKR.JK,Lippo Karawaci Tbk.,Stock,Indonesia,Healthcare,Medical Care Facilities,6. Healthcare
MARK.JK,Mark Dynamics Indonesia Tbk.,Stock,Indonesia,Healthcare,Medical Instruments & Supplies,6. Healthcare
MEDS.JK,Hetzer Medical Indonesia Tbk.,Stock,Indonesia,Healthcare,Medical Instruments & Supplies,6. Healthcare
MERK.JK,Merck Tbk.,Stock,Indonesia,Healthcare,Drug Manufacturers - Specialty & Generic,6. Healthcare
MIKA.JK,Mitra Keluarga Karyasehat Tbk.,Stock,Indonesia,Healthcare,Medical Care Facilities,6. Healthcare
MMIX.JK,Multi Medika Internasional Tbk,Stock,Indonesia,Healthcare,Pharmaceutical Retailers,6. Healthcare
MTMH.JK,Murni Sadar Tbk.,Stock,Indonesia,Healthcare,Medical Care Facilities,6. Healthcare
NANO.JK,Nanotech Indonesia Global Tbk.,Stock,Indonesia,Healthcare,Medical Devices,6. Healthcare
OMED.JK,Jayamas Medica Industri Tbk.,Stock,Indonesia,Healthcare,Medical Instruments & Supplies,6. Healthcare
PEHA.JK,Phapros Tbk.,Stock,Indonesia,Healthcare,Drug Manufacturers - Specialty & Generic,6. Healthcare
PEVE.JK,Penta Valent Tbk.,Stock,Indonesia,Healthcare,Pharmaceutical Retailers,6. Healthcare
PRAY.JK,Famon Awal Bros Sedaya Tbk.,Stock,Indonesia,Healthcare,Medical Care Facilities,6. Healthcare
PRDA.JK,Prodia Widyahusada Tbk.,Stock,Indonesia,Healthcare,Diagnostics & Research,6. Healthcare
PRIM.JK,Royal Prima Tbk.,Stock,Indonesia,Healthcare,Medical Care Facilities,6. Healthcare
PYFA.JK,Pyridam Farma Tbk,Stock,Indonesia,Healthcare,Drug Manufacturers - Specialty & Generic,6. Healthcare
RSCH.JK,Charlie Hospital Semarang Tbk.,Stock,Indonesia,Healthcare,Medical Care Facilities,6. Healthcare
RSGK.JK,Kedoya Adyaraya Tbk.,Stock,Indonesia,Healthcare,Medical Care Facilities,6. Healthcare
SAME.JK,Sarana Meditama Metropolitan T,Stock,Indonesia,Healthcare,Medical Care Facilities,6. Healthcare
SDPC.JK,Millennium Pharmacon Internati,Stock,Indonesia,Healthcare,Medical Distribution,6. Healthcare
SIDO.JK,Industri Jamu dan Farmasi Sido,Stock,Indonesia,Healthcare,Drug Manufacturers - Specialty & Generic,6. Healthcare
SILO.JK,Siloam International Hospitals,Stock,Indonesia,Healthcare,Medical Care Facilities,6. Healthcare
SOHO.JK,Soho Global Health Tbk.,Stock,Indonesia,Healthcare,Medical Distribution,6. Healthcare
SRAJ.JK,Sejahteraraya Anugrahjaya Tbk.,Stock,Indonesia,Healthcare,Medical Care Facilities,6. Healthcare
SURI.JK,Maja Agung Latexindo Tbk.,Stock,Indonesia,Healthcare,Medical Instruments & Supplies,6. Healthcare
ZBRA.JK,Dosni Roha Indonesia Tbk.,Stock,Indonesia,Healthcare,Medical Distribution,6. Healthcare
