Ticker,Nama,Type,Region,Sector Yahoo,Industry Yahoo,Sektor IHSG
ADCP.JK,Adhi Commuter Properti Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
AMAN.JK,Makmur Berkah Amanda Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
APLN.JK,Agung Podomoro Land Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
ASRI.JK,Alam Sutera Realty Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
BAPA.JK,Bekasi Asri Pemula Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
BAPI.JK,Bhakti Agung Propertindo Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
BCIP.JK,Bumi Citra Permai Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
BEST.JK,Bekasi Fajar Industrial Estate,Stock,Indonesia,Real Estate,Real Estate Services,8. Property
BIKA.JK,Binakarya Jaya Abadi Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
BIPP.JK,Bhuwanatala Indah Permai Tbk.,Stock,Indonesia,Real Estate,Real Estate - Diversified,8. Property
BKDP.JK,Bukit Darmo Property Tbk.,Stock,Indonesia,Real Estate,Real Estate Services,8. Property
BKSL.JK,Sentul City Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
BSBK.JK,Wulandari Bangun Laksana Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
BSDE.JK,Bumi Serpong Damai Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
CBPE.JK,Citra Buana Prasida Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
CITY.JK,Natura City Developments Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
CSIS.JK,Cahayasakti Investindo Sukses,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
CTRA.JK,Ciputra Development Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
DADA.JK,Diamond Citra Propertindo Tbk.,Stock,Indonesia,Real Estate,Real Estate Services,8. Property
DART.JK,Duta Anggada Realty Tbk.,Stock,Indonesia,Real Estate,Real Estate Services,8. Property
DCII.JK,DCI Indonesia Tbk.,Stock,Indonesia,Real Estate,Real Estate Services,8. Property
DFAM.JK,Dafam Property Indonesia Tbk.,Stock,Indonesia,Real Estate,Real Estate Services,8. Property
DILD.JK,Intiland Development Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
DMAS.JK,Puradelta Lestari Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
DUTI.JK,Duta Pertiwi Tbk,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
ELTY.JK,Bakrieland Development Tbk.,Stock,Indonesia,Real Estate,Real Estate Services,8. Property
EMDE.JK,Megapolitan Developments Tbk.,Stock,Indonesia,Real Estate,Real Estate Services,8. Property
FMII.JK,Fortune Mate Indonesia Tbk,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
GMTD.JK,Gowa Makassar Tourism Developm,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
GPRA.JK,Perdana Gapuraprima Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
GRIA.JK,Ingria Pratama Capitalindo Tbk,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
GWSA.JK,Greenwood Sejahtera Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
