Ticker,Nama,Type,Region,Sector Yahoo,Industry Yahoo,Sektor IHSG
AREA.JK,Dunia Virtual Online Tbk.,Stock,Indonesia,Technology,Information Technology Services,9. Technology
ATIC.JK,Anabatic Technologies Tbk.,Stock,Indonesia,Technology,Information Technology Services,9. Technology
AXIO.JK,Tera Data Indonusa Tbk.,Stock,Indonesia,Technology,Computer Hardware,9. Technology
BLUE.JK,Berkah Prima Perkasa Tbk.,Stock,Indonesia,Technology,Electronics & Computer Distribution,9. Technology
CCSI.JK,Communication Cable Systems In,Stock,Indonesia,Technology,Communication Equipment,9. Technology
CYBR.JK,ITSEC Asia Tbk.,Stock,Indonesia,Technology,Software - Infrastructure,9. Technology
DIVA.JK,Distribusi Voucher Nusantara T,Stock,Indonesia,Technology,Software - Application,9. Technology
EDGE.JK,Indointernet Tbk.,Stock,Indonesia,Technology,Information Technology Services,9. Technology
ELIT.JK,Data Sinergitama Jaya Tbk.,Stock,Indonesia,Technology,Information Technology Services,9. Technology
GLVA.JK,Galva Technologies Tbk.,Stock,Indonesia,Technology,Electronics & Computer Distribution,9. Technology
GOTO.JK,GoTo Gojek Tokopedia Tbk.,Stock,Indonesia,Technology,Software - Infrastructure,9. Technology
GPSO.JK,Geoprima Solusi Tbk.,Stock,Indonesia,Technology,Scientific & Technical Instruments,9. Technology
HDIT.JK,Hensel Davest Indonesia Tbk.,Stock,Indonesia,Technology,Software - Infrastructure,9. Technology
IOTF.JK,Sumber Sinergi Makmur Tbk.,Stock,Indonesia,Technology,Communication Equipment,9. Technology
IRSX.JK,Aviana Sinar Abadi Tbk.,Stock,Indonesia,Technology,Software - Application,9. Technology
JATI.JK,Informasi Teknologi Indonesia,Stock,Indonesia,Technology,Information Technology Services,9. Technology
KETR.JK,Ketrosden Triasmitra Tbk.,Stock,Indonesia,Technology,Communication Equipment,9. Technology
KIOS.JK,Kioson Komersial Indonesia Tbk,Stock,Indonesia,Technology,Software - Application,9. Technology
LUCK.JK,Sentral Mitra Informatika Tbk.,Stock,Indonesia,Technology,Computer Hardware,9. Technology
MKNT.JK,Mitra Komunikasi Nusantara Tbk,Stock,Indonesia,Technology,Communication Equipment,9. Technology
MLPT.JK,Multipolar Technology Tbk.,Stock,Indonesia,Technology,Information Technology Services,9. Technology
MPIX.JK,Mitra Pedagang Indonesia Tbk.,Stock,Indonesia,Technology,Software - Infrastructure,9. Technology
MSTI.JK,Mastersystem Infotama Tbk.,Stock,Indonesia,Technology,Information Technology Services,9. Technology
MTDL.JK,Metrodata Electronics Tbk.,Stock,Indonesia,Technology,Electronics & Computer Distribution,9. Technology
NINE.JK,Techno9 Indonesia Tbk.,Stock,Indonesia,Technology,Information Technology Services,9. Technology
RUNS.JK,Global Sukses Solusi Tbk.,Stock,Indonesia,Technology,Software - Application,9. Technology
SCNP.JK,Selaras Citra Nusantara Perkas,Stock,Indonesia,Technology,Consumer Electronics,9. Technology
SLIS.JK,Gaya Abadi Sempurna Tbk.,Stock,Indonesia,Technology,Electronics & Computer Distribution,9. Technology
PTSN.JK,Sat Nusapersada Tbk,Stock,Indonesia,Technology,Electronic Components,9. Technology
TOSK.JK,Topindo Solusi Komunika Tbk.,Stock,Indonesia,Technology,Software - Application,9. Technology
TRON.JK,Teknologi Karya Digital Nusa T,Stock,Indonesia,Technology,Information Technology Services,9. Technology
UVCR.JK,Trimegah Karya Pratama Tbk.,Stock,Indonesia,Technology,Software - Application,9. Technology
WGSH.JK,Wira Global Solusi Tbk.,Stock,Indonesia,Technology,Software - Infrastructure,9. Technology
WIFI.JK,Solusi Sinergi Digital Tbk.,Stock,Indonesia,Technology,Information Technology Services,9. Technology
WIRG.JK,WIR ASIA Tbk.,Stock,Indonesia,Technology,Information Technology Services,9. Technology
ZYRX.JK,Zyrexindo Mandiri Buana Tbk.,Stock,Indonesia,Technology,Computer Hardware,9. Technology
