Ticker,Nama,Type,Region
^JKSE,IHSG,Index,Asean
^IXIC,NASDAQ,Index,America
^GSPC,S&P 500,Index,America
^DJI,DOW JONES,Index,America
^KS11,KOSPI,Index,Asia
^N225,NIKKEI 225,Index,Asia
^HIS,HANG SENG,Index,Asia
000001.SS,SSE,Index,Asia
^GDAXI,DAX,Index,Europe
^FTSE,FTSE 100,Index,Europe
^SET.BK,Thailand Stock Index,Index,Asean
^VNINDEX.VN,Vietnam Stock Index,Index,Asean
^KLSE,Malaysia Stock Index,Index,Asean
^PSEI.PS,Filipina Stock Index,Index,Asean
^BSESN,Sensex India,Index,Asia
^VIX,CBOE Volatility Index,Index,America
^RUT,Russell 2000,Index,America
GC=F,Gold,Commodities,Global
SI=F,Silver,Commodities,Global
BTC-USD,Bitcoin,Crypto,Global
ETH-USD,Ethereum,Crypto,Global
SOL-USD,Solana,Crypto,Global
^FCHI,CAC 40,Index,Europe
IDXENERGY.JK,IDX ENERGY,Index,Indonesia
IDXFINANCE.JK,IDX FINANCE,Index,Indonesia
IDXTRANS.JK,IDX TRANSPOERTATION,Index,Indonesia
IDXCYCLIC.JK,IDX CYCLIC,Index,Indonesia
IDXNONCYC.JK,IDX NONCYCLICAL,Index,Indonesia
IDXTECHNO.JK,IDX TECHNOLOGY,Index,Indonesia
IDXBASIC.JK,IDX BASIC,Index,Indonesia
IDXPROPERT.JK,IDX PROPERTY,Index,Indonesia
IDXINDUST.JK,IDX INDUSTRY,Index,Indonesia
IDXHEALTH.JK,IDX HEALTH,Index,Indonesia
IDXINFRA.JK,IDX INFRASTUCTURE,Index,Indonesia
AALI.JK,Astra Agro Lestari Tbk.,Stock,Indonesia
ABBA.JK,Mahaka Media Tbk.,Stock,Indonesia
ABDA.JK,Asuransi Bina Dana Arta Tbk.,Stock,Indonesia
ABMM.JK,ABM Investama Tbk.,Stock,Indonesia
ACES.JK,Aspirasi Hidup Indonesia Tbk.,Stock,Indonesia
ACRO.JK,Samcro Hyosung Adilestari Tbk.,Stock,Indonesia
ACST.JK,Acset Indonusa Tbk.,Stock,Indonesia
ADCP.JK,Adhi Commuter Properti Tbk.,Stock,Indonesia
ADES.JK,Akasha Wira International Tbk.,Stock,Indonesia
ADHI.JK,Adhi Karya (Persero) Tbk.,Stock,Indonesia
ADMF.JK,Adira Dinamika Multi Finance T,Stock,Indonesia
ADMG.JK,Polychem Indonesia Tbk,Stock,Indonesia
ADMR.JK,Adaro Minerals Indonesia Tbk.,Stock,Indonesia
ADRO.JK,Alamtri Resources Indonesia Tb,Stock,Indonesia
AEGS.JK,Anugerah Spareparts Sejahtera,Stock,Indonesia
AGAR.JK,Asia Sejahtera Mina Tbk.,Stock,Indonesia
AGII.JK,Samator Indo Gas Tbk.,Stock,Indonesia
AGRO.JK,Bank Raya Indonesia Tbk.,Stock,Indonesia
AGRS.JK,Bank IBK Indonesia Tbk.,Stock,Indonesia
AHAP.JK,Asuransi Harta Aman Pratama Tbk.,Stock,Indonesia
AIMS.JK,Artha Mahiya Investama Tbk.,Stock,Indonesia
AISA.JK,FKS Food Sejahtera Tbk.,Stock,Indonesia
AKKU.JK,Anugerah Kagum Karya Utama Tbk,Stock,Indonesia
AKPI.JK,Argha Karya Prima Industry Tbk,Stock,Indonesia
AKRA.JK,AKR Corporindo Tbk.,Stock,Indonesia
AKSI.JK,Mineral Sumberdaya Mandiri Tbk,Stock,Indonesia
ALDO.JK,Alkindo Naratama Tbk.,Stock,Indonesia
ALII.JK,Ancara Logistics Indonesia Tbk,Stock,Indonesia
ALKA.JK,Alakasa Industrindo Tbk,Stock,Indonesia
