Ticker,Nama,Type,Region,Sector Yahoo,Industry Yahoo,Sektor IHSG
ABMM.JK,ABM Investama Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
ADRO.JK,Alamtri Resources Indonesia Tb,Stock,Indonesia,Energy,Thermal Coal,1. Energy
AIMS.JK,Artha Mahiya Investama Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
AKRA.JK,AKR Corporindo Tbk.,Stock,Indonesia,Energy,Oil & Gas Refining & Marketing,1. Energy
APEX.JK,Apexindo Pratama Duta Tbk.,Stock,Indonesia,Energy,Oil & Gas Drilling,1. Energy
ARII.JK,Atlas Resources Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
ARTI.JK,Ratu Prabu Energi Tbk,Stock,Indonesia,Energy,Oil & Gas Equipment & Services,1. Energy
ATLA.JK,Atlantis Subsea Indonesia Tbk.,Stock,Indonesia,Energy,Oil & Gas Equipment & Services,1. Energy
PTBA.JK,Bukit Asam Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
BOAT.JK,Newport Marine Services Tbk.,Stock,Indonesia,Energy,Oil & Gas Drilling,1. Energy
BSSR.JK,Baramulti Suksessarana Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
BUMI.JK,Bumi Resources Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
BYAN.JK,Bayan Resources Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
CGAS.JK,Citra Nusantara Gemilang Tbk.,Stock,Indonesia,Energy,Oil & Gas Refining & Marketing,1. Energy
CNKO.JK,Exploitasi Energi Indonesia Tb,Stock,Indonesia,Energy,Thermal Coal,1. Energy
COAL.JK,Black Diamond Resources Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
CTBN.JK,Citra Tubindo Tbk.,Stock,Indonesia,Energy,Oil & Gas Equipment & Services,1. Energy
CUAN.JK,Petrindo Jaya Kreasi Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
DEWA.JK,Darma Henwa Tbk,Stock,Indonesia,Energy,Thermal Coal,1. Energy
DOID.JK,Delta Dunia Makmur Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
DSSA.JK,Dian Swastatika Sentosa Tbk,Stock,Indonesia,Energy,Thermal Coal,1. Energy
DWGL.JK,Dwi Guna Laksana Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
ELSA.JK,Elnusa Tbk.,Stock,Indonesia,Energy,Oil & Gas Equipment & Services,1. Energy
ENRG.JK,Energi Mega Persada Tbk.,Stock,Indonesia,Energy,Oil & Gas E&P,1. Energy
FIRE.JK,Alfa Energi Investama Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
GEMS.JK,Golden Energy Mines Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
GTBO.JK,Garda Tujuh Buana Tbk,Stock,Indonesia,Energy,Thermal Coal,1. Energy
HRUM.JK,Harum Energy Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
IATA.JK,MNC Energy Investments Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
ICON.JK,Island Conces Indonesia Tbk.,Stock,Indonesia,Energy,Oil & Gas Equipment & Services,1. Energy
INDY.JK,Indika Energy Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
ITMG.JK,Indo Tambangraya Megah Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
KKGI.JK,Resource Alam Indonesia Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
KOPI.JK,Mitra Energi Persada Tbk.,Stock,Indonesia,Energy,Oil & Gas Refining & Marketing,1. Energy
LMAX.JK,Lupromax Pelumas Indonesia Tbk,Stock,Indonesia,Energy,Oil & Gas Refining & Marketing,1. Energy
MBAP.JK,Mitrabara Adiperdana Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
MCOL.JK,Prima Andalan Mandiri Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
MEDC.JK,Medco Energi Internasional Tbk,Stock,Indonesia,Energy,Oil & Gas E&P,1. Energy
MIRA.JK,Mitra International Resources,Stock,Indonesia,Energy,Oil & Gas Equipment & Services,1. Energy
MKAP.JK,Multikarya Asia Pasifik Raya T,Stock,Indonesia,Energy,Oil & Gas Equipment & Services,1. Energy
MTFN.JK,Capitalinc Investment Tbk.,Stock,Indonesia,Energy,Oil & Gas E&P,1. Energy
MYOH.JK,Samindo Resources Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
RGAS.JK,Kian Santang Muliatama Tbk.,Stock,Indonesia,Energy,Oil & Gas Equipment & Services,1. Energy
RMKE.JK,RMK Energy Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
RMKO.JK,Royaltama Mulia Kontraktorindo,Stock,Indonesia,Energy,Thermal Coal,1. Energy
RUIS.JK,Radiant Utama Interinsco Tbk.,Stock,Indonesia,Energy,Oil & Gas Equipment & Services,1. Energy
SGER.JK,Sumber Global Energy Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
SHIP.JK,Sillo Maritime Perdana Tbk.,Stock,Indonesia,Energy,Oil & Gas Equipment & Services,1. Energy
SICO.JK,Sigma Energy Compressindo Tbk.,Stock,Indonesia,Energy,Oil & Gas Equipment & Services,1. Energy
SMMT.JK,Golden Eagle Energy Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
SUNI.JK,Sunindo Pratama Tbk.,Stock,Indonesia,Energy,Oil & Gas Equipment & Services,1. Energy
SURE.JK,Super Energy Tbk.,Stock,Indonesia,Energy,Oil & Gas Integrated,1. Energy
TOBA.JK,TBS Energi Utama Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
