Ticker,Nama,Type,Region,Sector Yahoo,Industry Yahoo,Sektor IHSG
ABBA.JK,Mahaka Media Tbk.,Stock,Indonesia,Communication Services,Publishing,10. Infrastructure
ACST.JK,Acset Indonusa Tbk.,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
ADHI.JK,Adhi Karya (Persero) Tbk.,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
ARKO.JK,Arkora Hydro Tbk.,Stock,Indonesia,Utilities,Utilities - Renewable,10. Infrastructure
ASLI.JK,Asri Karya Lestari Tbk.,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
AWAN.JK,Era Digital Media Tbk.,Stock,Indonesia,Communication Services,Internet Content & Information,10. Infrastructure
BALI.JK,Bali Towerindo Sentra Tbk.,Stock,Indonesia,Communication Services,Telecom Services,10. Infrastructure
BBSS.JK,Bumi Benowo Sukses Sejahtera T,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
BDKR.JK,Berdikari Pondasi Perkasa Tbk.,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
BHIT.JK,MNC Asia Holding Tbk.,Stock,Indonesia,Communication Services,Entertainment,10. Infrastructure
BIPI.JK,Astrindo Nusantara Infrastrukt,Stock,Indonesia,Industrials,Infrastructure Operations,10. Infrastructure
BLTZ.JK,Graha Layar Prima Tbk.,Stock,Indonesia,Communication Services,Entertainment,10. Infrastructure
BMTR.JK,Global Mediacom Tbk.,Stock,Indonesia,Communication Services,Entertainment,10. Infrastructure
BOLA.JK,Bali Bintang Sejahtera Tbk.,Stock,Indonesia,Communication Services,Entertainment,10. Infrastructure
BREN.JK,Barito Renewables Energy Tbk.,Stock,Indonesia,Utilities,Utilities - Renewable,10. Infrastructure
BUKK.JK,Bukaka Teknik Utama Tbk.,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
CENT.JK,Centratama Telekomunikasi Indo,Stock,Indonesia,Communication Services,Telecom Services,10. Infrastructure
CHIP.JK,Pelita Teknologi Global Tbk.,Stock,Indonesia,Communication Services,Telecom Services,10. Infrastructure
CMNP.JK,Citra Marga Nusaphala Persada,Stock,Indonesia,Industrials,Infrastructure Operations,10. Infrastructure
CNMA.JK,Nusantara Sejahtera Raya Tbk.,Stock,Indonesia,Communication Services,Entertainment,10. Infrastructure
DATA.JK,Remala Abadi Tbk.,Stock,Indonesia,Communication Services,Telecom Services,10. Infrastructure
DGIK.JK,Nusa Konstruksi Enjiniring Tbk,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
DIGI.JK,Arkadia Digital Media Tbk.,Stock,Indonesia,Communication Services,Internet Content & Information,10. Infrastructure
