Ticker,Nama,Type,Region,Sector Yahoo,Industry Yahoo,Sektor IHSG
ADMG.JK,Polychem Indonesia Tbk,Stock,Indonesia,Basic Materials,Chemicals,2. Basic Materials
ADMR.JK,Adaro Minerals Indonesia Tbk.,Stock,Indonesia,Basic Materials,Coking Coal,2. Basic Materials
AGII.JK,Samator Indo Gas Tbk.,Stock,Indonesia,Basic Materials,Chemicals,2. Basic Materials
ALDO.JK,Alkindo Naratama Tbk.,Stock,Indonesia,Basic Materials,Paper & Paper Products,2. Basic Materials
ALKA.JK,Alakasa Industrindo Tbk,Stock,Indonesia,Basic Materials,Aluminum,2. Basic Materials
ALMI.JK,Alumindo Light Metal Industry,Stock,Indonesia,Basic Materials,Aluminum,2. Basic Materials
AMFG.JK,Asahimas Flat Glass Tbk.,Stock,Indonesia,Basic Materials,Building Materials,2. Basic Materials
AMMN.JK,Amman Mineral Internasional Tb,Stock,Indonesia,Basic Materials,Other Precious Metals & Mining,2. Basic Materials
ANTM.JK,Aneka Tambang Tbk.,Stock,Indonesia,Basic Materials,Gold,2. Basic Materials
ARCI.JK,Archi Indonesia Tbk.,Stock,Indonesia,Basic Materials,Gold,2. Basic Materials
AVIA.JK,Avia Avian Tbk.,Stock,Indonesia,Basic Materials,Specialty Chemicals,2. Basic Materials
BAJA.JK,Saranacentral Bajatama Tbk.,Stock,Indonesia,Basic Materials,Steel,2. Basic Materials
BATR.JK,Benteng Api Technic Tbk.,Stock,Indonesia,Basic Materials,Building Materials,2. Basic Materials
BEBS.JK,Berkah Beton Sadaya Tbk.,Stock,Indonesia,Basic Materials,Building Materials,2. Basic Materials
BISI.JK,BISI International Tbk.,Stock,Indonesia,Basic Materials,Agricultural Inputs,2. Basic Materials
BLES.JK,Superior Prima Sukses Tbk.,Stock,Indonesia,Basic Materials,Building Materials,2. Basic Materials
BMSR.JK,Bintang Mitra Semestaraya Tbk,Stock,Indonesia,Basic Materials,Chemicals,2. Basic Materials
BRPT.JK,Barito Pacific Tbk.,Stock,Indonesia,Basic Materials,Chemicals,2. Basic Materials
BRMS.JK,Bumi Resources Minerals Tbk.,Stock,Indonesia,Basic Materials,Other Industrial Metals & Mining,2. Basic Materials
BTON.JK,Betonjaya Manunggal Tbk.,Stock,Indonesia,Basic Materials,Steel,2. Basic Materials
CHEM.JK,Chemstar Indonesia Tbk.,Stock,Indonesia,Basic Materials,Specialty Chemicals,2. Basic Materials
CITA.JK,Cita Mineral Investindo Tbk.,Stock,Indonesia,Basic Materials,Other Industrial Metals & Mining,2. Basic Materials
CLPI.JK,Colorpak Indonesia Tbk.,Stock,Indonesia,Basic Materials,Specialty Chemicals,2. Basic Materials
CMNT.JK,Cemindo Gemilang Tbk.,Stock,Indonesia,Basic Materials,Building Materials,2. Basic Materials
CTTH.JK,Citatah Tbk.,Stock,Indonesia,Basic Materials,Building Materials,2. Basic Materials
DAAZ.JK,Daaz Bara Lestari Tbk.,Stock,Indonesia,Basic Materials,Other Industrial Metals & Mining,2. Basic Materials
