Ticker,Nama,Type,Region,Sector Yahoo,Industry Yahoo,Sektor IHSG
AMIN.JK,Ateliers Mecaniques D Indonesi,Stock,Indonesia,Industrials,Specialty Industrial Machinery,3. Industrials
APII.JK,Arita Prima Indonesia Tbk.,Stock,Indonesia,Industrials,Tools & Accessories,3. Industrials
ARKA.JK,Arkha Jayanti Persada Tbk.,Stock,Indonesia,Industrials,Specialty Business Services,3. Industrials
ARNA.JK,Arwana Citramulia Tbk.,Stock,Indonesia,Industrials,Building Products & Equipment,3. Industrials
ASGR.JK,Astra Graphia Tbk.,Stock,Indonesia,Industrials,Specialty Business Services,3. Industrials
ASII.JK,Astra International Tbk.,Stock,Indonesia,Industrials,Conglomerates,3. Industrials
ASSA.JK,Adi Sarana Armada Tbk.,Stock,Indonesia,Industrials,Rental & Leasing Services,3. Industrials
BAUT.JK,Mitra Angkasa Sejahtera Tbk.,Stock,Indonesia,Industrials,Tools & Accessories,3. Industrials
BINO.JK,Perma Plasindo Tbk.,Stock,Indonesia,Industrials,Business Equipment & Supplies,3. Industrials
BNBR.JK,Bakrie & Brothers Tbk,Stock,Indonesia,Industrials,Conglomerates,3. Industrials
BOLT.JK,Garuda Metalindo Tbk.,Stock,Indonesia,Industrials,Tools & Accessories,3. Industrials
BPTR.JK,Batavia Prosperindo Trans Tbk.,Stock,Indonesia,Industrials,Rental & Leasing Services,3. Industrials
CAKK.JK,Cahayaputra Asa Keramik Tbk.,Stock,Indonesia,Industrials,Building Products & Equipment,3. Industrials
CASH.JK,Cashlez Worldwide Indonesia Tb,Stock,Indonesia,Industrials,Business Equipment & Supplies,3. Industrials
CASS.JK,Cardig Aero Services Tbk.,Stock,Indonesia,Industrials,Airports & Air Services,3. Industrials
CRSN.JK,Carsurin Tbk.,Stock,Indonesia,Industrials,Specialty Business Services,3. Industrials
CSAP.JK,Catur Sentosa Adiprana Tbk.,Stock,Indonesia,Industrials,Industrial Distribution,3. Industrials
GMFI.JK,Garuda Maintenance Facility Ae,Stock,Indonesia,Industrials,Aerospace & Defense,3. Industrials
HELI.JK,Jaya Trishindo Tbk.,Stock,Indonesia,Industrials,Airports & Air Services,3. Industrials
HEXA.JK,Hexindo Adiperkasa Tbk.,Stock,Indonesia,Industrials,Industrial Distribution,3. Industrials
