Ticker,Nama,Type,Region,Sector Yahoo,Industry Yahoo,Sektor IHSG
ABDA.JK,Asuransi Bina Dana Arta Tbk.,Stock,Indonesia,Financial Services,Insurance - Property & Casualty,7. Finance
ADMF.JK,Adira Dinamika Multi Finance T,Stock,Indonesia,Financial Services,Credit Services,7. Finance
AGRO.JK,Bank Raya Indonesia Tbk.,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
AGRS.JK,Bank IBK Indonesia Tbk.,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
AHAP.JK,Asuransi Harta Aman Pratama Tbk.,Stock,Indonesia,Financial Services,Insurance - Property & Casualty,7. Finance
AMAG.JK,Asuransi Multi Artha Guna Tbk.,Stock,Indonesia,Financial Services,Insurance - Property & Casualty,7. Finance
AMAR.JK,Bank Amar Indonesia Tbk.,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
AMOR.JK,Ashmore Asset Management Indon,Stock,Indonesia,Financial Services,Asset Management,7. Finance
APIC.JK,Pacific Strategic Financial Tb,Stock,Indonesia,Financial Services,Insurance - Life,7. Finance
ARTO.JK,Bank Jago Tbk.,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
ASBI.JK,Asuransi Bintang Tbk.,Stock,Indonesia,Financial Services,Insurance - Diversified,7. Finance
ASDM.JK,Asuransi Dayin Mitra Tbk.,Stock,Indonesia,Financial Services,Insurance - Diversified,7. Finance
ASJT.JK,Asuransi Jasa Tania Tbk.,Stock,Indonesia,Financial Services,Insurance - Property & Casualty,7. Finance
ASMI.JK,Asuransi Maximus Graha Persada,Stock,Indonesia,Financial Services,Insurance - Property & Casualty,7. Finance
ASRM.JK,Asuransi Ramayana Tbk.,Stock,Indonesia,Financial Services,Insurance - Property & Casualty,7. Finance
BABP.JK,Bank MNC Internasional Tbk.,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
BACA.JK,Bank Capital Indonesia Tbk.,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
BANK.JK,Bank Aladin Syariah Tbk.,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
BBCA.JK,Bank Central Asia Tbk.,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
BBHI.JK,Allo Bank Indonesia Tbk.,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
BBKP.JK,Bank KB Bukopin Tbk.,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
BBLD.JK,Buana Finance Tbk.,Stock,Indonesia,Financial Services,Credit Services,7. Finance
BBMD.JK,Bank Mestika Dharma Tbk.,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
BBNI.JK,Bank Negara Indonesia (Persero) Tbk.,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
