Ticker,Nama,Type,Region,Sector Yahoo,Industry Yahoo,Sektor IHSG
ARMY.JK,Armidian Karyatama Tbk.,Stock,Indonesia,,,Unknown
BOSS.JK,Borneo Olah Sarana Sukses Tbk.,Stock,Indonesia,,,Unknown
BTEL.JK,Bakrie Telecom Tbk.,Stock,Indonesia,,,Unknown
CBMF.JK,Cahaya Bintang Medan Tbk.,Stock,Indonesia,,,Unknown
COWL.JK,Cowell Development Tbk.,Stock,Indonesia,,,Unknown
CPRI.JK,Capri Nusa Satu Properti Tbk.,Stock,Indonesia,,,Unknown
DEAL.JK,Dewata Freightinternational Tb,Stock,Indonesia,,,Unknown
DUCK.JK,Jaya Bersama Indo Tbk.,Stock,Indonesia,,,Unknown
ENVY.JK,Envy Technologies Indonesia Tb,Stock,Indonesia,,,Unknown
ETWA.JK,Eterindo Wahanatama Tbk,Stock,Indonesia,,,Unknown
FORZ.JK,Forza Land Indonesia Tbk.,Stock,Indonesia,,,Unknown
FREN.JK,Smartfren Telecom Tbk.,Stock,Indonesia,,,Unknown
GAMA.JK,Aksara Global Development Tbk.,Stock,Indonesia,,,Unknown
GOLL.JK,Golden Plantation Tbk.,Stock,Indonesia,,,Unknown
HDTX.JK,Panasia Indo Resources Tbk.,Stock,Indonesia,,,Unknown
HKMU.JK,HK Metals Utama Tbk.,Stock,Indonesia,,,Unknown
HOME.JK,Hotel Mandarine Regency Tbk.,Stock,Indonesia,,,Unknown
HOTL.JK,Saraswati Griya Lestari Tbk.,Stock,Indonesia,,,Unknown
IIKP.JK,Inti Agri Resources Tbk,Stock,Indonesia,,,Unknown
JKSW.JK,Jakarta Kyoei Steel Works Tbk.,Stock,Indonesia,,,Unknown
JSKY.JK,Sky Energy Indonesia Tbk.,Stock,Indonesia,,,Unknown
KAYU.JK,Darmi Bersaudara Tbk.,Stock,Indonesia,,,Unknown
KBRI.JK,Kertas Basuki Rachmat Indonesi,Stock,Indonesia,,,Unknown
KPAL.JK,Steadfast Marine Tbk.,Stock,Indonesia,,,Unknown
KPAS.JK,Cottonindo Ariesta Tbk.,Stock,Indonesia,,,Unknown
KRAH.JK,Grand Kartech Tbk.,Stock,Indonesia,,,Unknown
LAPD.JK,Leyand International Tbk.,Stock,Indonesia,,,Unknown
LCGP.JK,Eureka Prima Jakarta Tbk.,Stock,Indonesia,,,Unknown
LMAS.JK,Limas Indonesia Makmur Tbk,Stock,Indonesia,,,Unknown
MABA.JK,Marga Abhinaya Abadi Tbk.,Stock,Indonesia,,,Unknown
MAGP.JK,Multi Agro Gemilang Plantation,Stock,Indonesia,,,Unknown
MAMI.JK,Mas Murni Indonesia Tbk,Stock,Indonesia,,,Unknown
MASA.JK,Multistrada Arah Sarana Tbk.,Stock,Indonesia,,,Unknown
META.JK,Nusantara Infrastructure Tbk.,Stock,Indonesia,,,Unknown
MFIN.JK,Mandala Multifinance Tbk.,Stock,Indonesia,,,Unknown
MTRA.JK,Mitra Pemuda Tbk.,Stock,Indonesia,,,Unknown
MYRX.JK,Hanson International Tbk.,Stock,Indonesia,,,Unknown
NIPS.JK,Nipress Tbk.,Stock,Indonesia,,,Unknown
NUSA.JK,Sinergi Megah Internusa Tbk.,Stock,Indonesia,,,Unknown
OCAP.JK,Onix Capital Tbk.,Stock,Indonesia,,,Unknown
PLAS.JK,Polaris Investama Tbk,Stock,Indonesia,,,Unknown
POOL.JK,Pool Advista Indonesia Tbk.,Stock,Indonesia,,,Unknown
POSA.JK,Bliss Properti Indonesia Tbk.,Stock,Indonesia,,,Unknown
PRAS.JK,Prima Alloy Steel Universal Tb,Stock,Indonesia,,,Unknown
PURE.JK,Trinitan Metals and Minerals T,Stock,Indonesia,,,Unknown
RIMO.JK,Rimo International Lestari Tbk,Stock,Indonesia,,,Unknown
SCPI.JK,Organon Pharma Indonesia Tbk.,Stock,Indonesia,,,Unknown
SIMA.JK,Siwani Makmur Tbk,Stock,Indonesia,,,Unknown
SKYB.JK,Northcliff Citranusa Indonesia,Stock,Indonesia,,,Unknown
SMRU.JK,SMR Utama Tbk.,Stock,Indonesia,,,Unknown
SRIL.JK,Sri Rejeki Isman Tbk.,Stock,Indonesia,,,Unknown
SUGI.JK,Sugih Energy Tbk.,Stock,Indonesia,,,Unknown
TDPM.JK,Tianrong Chemicals Industry Tb,Stock,Indonesia,,,Unknown
TECH.JK,Indosterling Technomedia Tbk.,Stock,Indonesia,,,Unknown
TRAM.JK,Trada Alam Minera Tbk.,Stock,Indonesia,,,Unknown
TRIL.JK,Triwira Insanlestari Tbk.,Stock,Indonesia,,,Unknown
TRIO.JK,Trikomsel Oke Tbk.,Stock,Indonesia,,,Unknown
UNIT.JK,Nusantara Inti Corpora Tbk,Stock,Indonesia,,,Unknown
WSKT.JK,Waskita Karya (Persero) Tbk.,Stock,Indonesia,,,Unknown
