Ticker,Nama,Type,Region,Sector Yahoo,Industry Yahoo,Sektor IHSG
AALI.JK,Astra Agro Lestari Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
ABBA.JK,Mahaka Media Tbk.,Stock,Indonesia,Communication Services,Publishing,10. Infrastructure
ABDA.JK,Asuransi Bina Dana Arta Tbk.,Stock,Indonesia,Financial Services,Insurance - Property & Casualty,7. Finance
ABMM.JK,ABM Investama Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
ACES.JK,Aspirasi Hidup Indonesia Tbk.,Stock,Indonesia,Consumer Cyclical,Specialty Retail,5. Non Primer
ACRO.JK,Samcro Hyosung Adilestari Tbk.,Stock,Indonesia,Consumer Cyclical,Apparel Manufacturing,5. Non Primer
ACST.JK,Acset Indonusa Tbk.,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
ADCP.JK,Adhi Commuter Properti Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
ADES.JK,Akasha Wira International Tbk.,Stock,Indonesia,Consumer Defensive,Beverages - Non-Alcoholic,4. Konsumen Primer
ADHI.JK,Adhi Karya (Persero) Tbk.,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
ADMF.JK,Adira Dinamika Multi Finance T,Stock,Indonesia,Financial Services,Credit Services,7. Finance
ADMG.JK,Polychem Indonesia Tbk,Stock,Indonesia,Basic Materials,Chemicals,2. Basic Materials
ADMR.JK,Adaro Minerals Indonesia Tbk.,Stock,Indonesia,Basic Materials,Coking Coal,2. Basic Materials
ADRO.JK,Alamtri Resources Indonesia Tb,Stock,Indonesia,Energy,Thermal Coal,1. Energy
AEGS.JK,Anugerah Spareparts Sejahtera,Stock,Indonesia,Consumer Cyclical,Auto Parts,5. Non Primer
AGAR.JK,Asia Sejahtera Mina Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
AGII.JK,Samator Indo Gas Tbk.,Stock,Indonesia,Basic Materials,Chemicals,2. Basic Materials
AGRO.JK,Bank Raya Indonesia Tbk.,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
AGRS.JK,Bank IBK Indonesia Tbk.,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
AHAP.JK,Asuransi Harta Aman Pratama Tbk.,Stock,Indonesia,Financial Services,Insurance - Property & Casualty,7. Finance
AIMS.JK,Artha Mahiya Investama Tbk.,Stock,Indonesia,Energy,Thermal Coal,1. Energy
AISA.JK,FKS Food Sejahtera Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
AKKU.JK,Anugerah Kagum Karya Utama Tbk,Stock,Indonesia,Consumer Cyclical,Lodging,5. Non Primer
AKPI.JK,Argha Karya Prima Industry Tbk,Stock,Indonesia,Consumer Cyclical,Packaging & Containers,5. Non Primer
